transaction_id,user_id,amount,timestamp,country,device,velocity,is_fraud
0,1959,94.9,2025-01-01 00:00:00,FR,tablet,3,0
1,1624,75.85,2025-01-01 00:05:00,NG,mobile,4,0
2,3093,46.64,2025-01-01 00:10:00,DE,desktop,3,0
3,1538,284.31,2025-01-01 00:15:00,BR,tablet,9,1
4,1713,127.38,2025-01-01 00:20:00,BR,tablet,2,0
5,2354,103.02,2025-01-01 00:25:00,UK,desktop,1,0
6,3910,62.57,2025-01-01 00:30:00,UK,tablet,1,0
7,2665,64.24,2025-01-01 00:35:00,DE,tablet,1,0
8,3814,87.26,2025-01-01 00:40:00,BR,desktop,4,0
9,4195,22.6,2025-01-01 00:45:00,DE,mobile,1,0
10,2075,104.49,2025-01-01 00:50:00,IN,mobile,2,0
11,2002,34.28,2025-01-01 00:55:00,BR,tablet,4,0
12,3456,52.76,2025-01-01 01:00:00,BR,mobile,2,0
13,1932,37.63,2025-01-01 01:05:00,FR,mobile,2,0
14,1107,61.12,2025-01-01 01:10:00,UK,mobile,3,0
15,1013,97.93,2025-01-01 01:15:00,IN,desktop,4,0
16,2068,63.67,2025-01-01 01:20:00,UK,tablet,3,0
17,2903,83.33,2025-01-01 01:25:00,FR,tablet,3,0
18,3756,61.99,2025-01-01 01:30:00,BR,tablet,1,0
19,3099,108.42,2025-01-01 01:35:00,IN,tablet,2,0
20,3884,61.95,2025-01-01 01:40:00,BR,tablet,3,0
21,1386,135.57,2025-01-01 01:45:00,NG,mobile,4,0
22,3555,63.99,2025-01-01 01:50:00,IN,tablet,2,0
23,2264,79.83,2025-01-01 01:55:00,NG,mobile,1,0
24,2101,104.68,2025-01-01 02:00:00,BR,tablet,2,0
25,1979,43.37,2025-01-01 02:05:00,IN,mobile,2,0
26,1329,163.35,2025-01-01 02:10:00,IN,mobile,2,0
27,3105,684.29,2025-01-01 02:15:00,NG,mobile,6,1
28,2578,14.65,2025-01-01 02:20:00,BR,desktop,4,0
29,1712,48.68,2025-01-01 02:25:00,BR,tablet,2,0
30,3439,52.78,2025-01-01 02:30:00,DE,mobile,2,0
31,3099,115.66,2025-01-01 02:35:00,FR,tablet,3,0
32,2844,96.93,2025-01-01 02:40:00,DE,mobile,1,0
