transaction_id,user_id,amount,timestamp,country,device,velocity,is_fraud
0,4512,94.9,2025-01-01 00:00:00,UK,mobile,3,0
1,1047,75.85,2025-01-01 00:05:00,UK,mobile,4,0
2,1302,46.64,2025-01-01 00:10:00,IN,tablet,3,0
3,3463,89.57,2025-01-01 00:15:00,DE,mobile,3,0
4,4643,127.38,2025-01-01 00:20:00,DE,mobile,2,0
5,2279,103.02,2025-01-01 00:25:00,FR,mobile,1,0
6,3765,62.57,2025-01-01 00:30:00,FR,desktop,1,0
7,4349,64.24,2025-01-01 00:35:00,FR,tablet,1,0
8,4149,87.26,2025-01-01 00:40:00,IN,tablet,4,0
9,3527,22.6,2025-01-01 00:45:00,BR,tablet,1,0
10,2144,104.49,2025-01-01 00:50:00,FR,desktop,2,0
11,1403,34.28,2025-01-01 00:55:00,DE,desktop,4,0
12,4273,172.62,2025-01-01 01:00:00,NG,tablet,7,1
13,1460,37.63,2025-01-01 01:05:00,DE,desktop,4,0
14,2703,156.78,2025-01-01 01:10:00,BR,tablet,3,0
15,1263,91.83,2025-01-01 01:15:00,DE,desktop,1,0
16,4725,45.47,2025-01-01 01:20:00,BR,desktop,3,0
17,4697,91.27,2025-01-01 01:25:00,UK,mobile,2,0
18,1596,61.99,2025-01-01 01:30:00,BR,desktop,1,0
19,3314,108.42,2025-01-01 01:35:00,NG,mobile,2,0
20,2621,61.95,2025-01-01 01:40:00,DE,tablet,3,0
21,4359,135.57,2025-01-01 01:45:00,NG,mobile,4,0
22,4795,63.99,2025-01-01 01:50:00,IN,mobile,2,0
23,4851,79.83,2025-01-01 01:55:00,BR,desktop,1,0
24,2031,104.68,2025-01-01 02:00:00,NG,mobile,2,0
25,1718,43.37,2025-01-01 02:05:00,UK,tablet,2,0
26,3796,163.35,2025-01-01 02:10:00,US,mobile,2,0
27,3350,115.81,2025-01-01 02:15:00,NG,tablet,1,0
28,2592,102.15,2025-01-01 02:20:00,UK,tablet,4,0
29,2596,305.48,2025-01-01 02:25:00,NG,mobile,5,1
30,3844,87.9,2025-01-01 02:30:00,FR,mobile,4,0
31,1594,129.25,2025-01-01 02:35:00,FR,mobile,2,0
32,4539,82.89,2025-01-01 02:40:00,NG,desktop,1,0
33,4486,92.57,2025-01-01 02:45:00,BR,mobile,1,0
34,2943,54.7,2025-01-01 02:50:00,US,mobile,1,0
35,4857,64.6,2025-01-01 02:55:00,BR,tablet,3,0
36,3627,23.73,2025-01-01 03:00:00,BR,tablet,4,0
37,4320,39.0,2025-01-01 03:05:00,FR,mobile,4,0
38,3586,107.92,2025-01-01 03:10:00,US,mobile,3,0
39,2110,100.33,2025-01-01 03:15:00,UK,tablet,1,0
40,4081,86.35,2025-01-01 03:20:00,NG,tablet,4,0
41,1349,97.91,2025-01-01 03:25:00,DE,desktop,3,0
42,3529,239.15,2025-01-01 03:30:00,BR,desktop,9,1
43,2712,114.94,2025-01-01 03:35:00,US,tablet,3,0
44,2684,32.78,2025-01-01 03:40:00,NG,desktop,3,0
45,1730,99.14,2025-01-01 03:45:00,UK,desktop,1,0
46,1656,474.38,2025-01-01 03:50:00,BR,mobile,6,1
47,4270,77.57,2025-01-01 03:55:00,NG,tablet,3,0
48,4445,78.93,2025-01-01 04:00:00,US,mobile,1,0
49,2924,126.94,2025-01-01 04:05:00,UK,mobile,3,0
50,4429,68.04,2025-01-01 04:10:00,FR,desktop,1,0
51,1553,78.17,2025-01-01 04:15:00,NG,desktop,3,0
52,4132,82.61,2025-01-01 04:20:00,US,tablet,4,0
53,3088,71.03,2025-01-01 04:25:00,NG,desktop,1,0
54,1764,107.11,2025-01-01 04:30:00,DE,desktop,3,0
55,2479,80.57,2025-01-01 04:35:00,FR,tablet,3,0
56,1762,124.34,2025-01-01 04:40:00,NG,mobile,4,0
57,4577,64.45,2025-01-01 04:45:00,US,desktop,1,0
58,3467,73.64,2025-01-01 04:50:00,IN,desktop,2,0
59,3103,67.19,2025-01-01 04:55:00,US,desktop,4,0
60,1965,107.46,2025-01-01 05:00:00,US,desktop,4,0
61,3344,319.88,2025-01-01 05:05:00,BR,mobile,7,1
62,4026,56.78,2025-01-01 05:10:00,UK,mobile,1,0
63,2433,69.21,2025-01-01 05:15:00,UK,mobile,3,0
64,3512,72.25,2025-01-01 05:20:00,BR,desktop,3,0
65,1532,93.83,2025-01-01 05:25:00,NG,desktop,2,0
66,1653,53.89,2025-01-01 05:30:00,BR,tablet,3,0
67,3745,64.8,2025-01-01 05:35:00,BR,mobile,1,0
68,2513,138.35,2025-01-01 05:40:00,NG,tablet,2,0
69,4262,75.4,2025-01-01 05:45:00,FR,desktop,4,0
70,2481,60.02,2025-01-01 05:50:00,IN,desktop,4,0
71,1770,64.59,2025-01-01 05:55:00,FR,mobile,4,0
72,1015,17.25,2025-01-01 06:00:00,UK,tablet,2,0
73,1139,117.91,2025-01-01 06:05:00,DE,desktop,1,0
74,4494,54.62,2025-01-01 06:10:00,DE,desktop,3,0
75,4867,284.2,2025-01-01 06:15:00,BR,tablet,9,1
76,4532,81.81,2025-01-01 06:20:00,BR,desktop,2,0
77,1221,153.9,2025-01-01 06:25:00,UK,desktop,3,0
78,2123,94.33,2025-01-01 06:30:00,FR,tablet,3,0
79,3797,72.23,2025-01-01 06:35:00,UK,desktop,2,0
80,4314,78.96,2025-01-01 06:40:00,IN,desktop,4,0
81,1955,167.45,2025-01-01 06:45:00,BR,mobile,8,1
82,2234,73.57,2025-01-01 06:50:00,BR,mobile,1,0
83,4964,59.32,2025-01-01 06:55:00,NG,mobile,3,0
84,4710,75.88,2025-01-01 07:00:00,FR,mobile,2,0
85,1887,122.04,2025-01-01 07:05:00,UK,tablet,2,0
86,3640,116.54,2025-01-01 07:10:00,US,tablet,4,0
87,3869,68.32,2025-01-01 07:15:00,IN,mobile,1,0
88,2848,80.84,2025-01-01 07:20:00,NG,mobile,4,0
89,2370,44.09,2025-01-01 07:25:00,DE,tablet,1,0
90,2096,67.51,2025-01-01 07:30:00,UK,tablet,4,0
91,2607,105.73,2025-01-01 07:35:00,UK,tablet,3,0
92,3994,106.63,2025-01-01 07:40:00,FR,desktop,4,0
93,2061,98.16,2025-01-01 07:45:00,BR,desktop,4,0
94,3590,92.84,2025-01-01 07:50:00,BR,mobile,4,0
95,1435,5.91,2025-01-01 07:55:00,NG,desktop,1,0
96,1444,115.08,2025-01-01 08:00:00,BR,mobile,2,0
97,2341,106.2,2025-01-01 08:05:00,US,mobile,3,0
98,4705,136.17,2025-01-01 08:10:00,DE,tablet,3,0
99,3312,91.89,2025-01-01 08:15:00,DE,tablet,4,0
100,1858,28.68,2025-01-01 08:20:00,IN,mobile,1,0
101,4450,83.57,2025-01-01 08:25:00,NG,tablet,4,0
102,3569,81.88,2025-01-01 08:30:00,IN,desktop,4,0
103,4627,95.05,2025-01-01 08:35:00,FR,mobile,3,0
104,1537,61.96,2025-01-01 08:40:00,UK,desktop,3,0
105,3456,54.6,2025-01-01 08:45:00,IN,mobile,4,0
106,3641,83.26,2025-01-01 08:50:00,IN,desktop,2,0
107,1361,83.17,2025-01-01 08:55:00,IN,tablet,4,0
108,2217,349.01,2025-01-01 09:00:00,BR,mobile,7,1
109,2081,133.66,2025-01-01 09:05:00,DE,desktop,1,0
110,1264,135.97,2025-01-01 09:10:00,DE,mobile,4,0
111,3456,94.21,2025-01-01 09:15:00,UK,tablet,1,0
112,1136,102.04,2025-01-01 09:20:00,NG,desktop,1,0
113,4371,51.37,2025-01-01 09:25:00,FR,tablet,2,0
114,1573,600.47,2025-01-01 09:30:00,BR,tablet,7,1
115,2726,55.38,2025-01-01 09:35:00,FR,mobile,1,0
116,3848,92.54,2025-01-01 09:40:00,BR,tablet,3,0
117,1685,23.4,2025-01-01 09:45:00,DE,desktop,3,0
118,2228,40.44,2025-01-01 09:50:00,NG,tablet,2,0
119,1409,101.61,2025-01-01 09:55:00,NG,mobile,2,0
120,2438,79.66,2025-01-01 10:00:00,IN,desktop,4,0
121,3450,92.4,2025-01-01 10:05:00,NG,mobile,3,0
122,2454,21.91,2025-01-01 10:10:00,BR,tablet,1,0
123,2541,54.58,2025-01-01 10:15:00,US,mobile,4,0
124,2791,105.5,2025-01-01 10:20:00,US,tablet,4,0
125,2799,91.83,2025-01-01 10:25:00,DE,desktop,1,0
126,3610,163.52,2025-01-01 10:30:00,US,mobile,4,0
127,4162,79.06,2025-01-01 10:35:00,NG,tablet,1,0
128,4893,26.5,2025-01-01 10:40:00,IN,mobile,2,0
129,1471,72.71,2025-01-01 10:45:00,UK,desktop,3,0
130,4054,98.18,2025-01-01 10:50:00,NG,tablet,3,0
131,3047,21.67,2025-01-01 10:55:00,BR,mobile,3,0
132,2252,51.51,2025-01-01 11:00:00,FR,tablet,1,0
133,1371,62.09,2025-01-01 11:05:00,UK,mobile,4,0
134,1386,10.46,2025-01-01 11:10:00,IN,mobile,2,0
135,1524,71.96,2025-01-01 11:15:00,BR,desktop,3,0
136,1758,45.57,2025-01-01 11:20:00,US,mobile,3,0
137,2827,121.69,2025-01-01 11:25:00,BR,tablet,3,0
138,3903,49.24,2025-01-01 11:30:00,FR,desktop,4,0
139,3793,44.51,2025-01-01 11:35:00,BR,mobile,1,0
140,2306,92.56,2025-01-01 11:40:00,FR,mobile,3,0
141,3248,58.15,2025-01-01 11:45:00,US,mobile,1,0
142,2694,59.99,2025-01-01 11:50:00,UK,mobile,2,0
143,3569,29.25,2025-01-01 11:55:00,IN,desktop,1,0
144,1596,58.01,2025-01-01 12:00:00,US,mobile,3,0
145,1471,85.86,2025-01-01 12:05:00,US,tablet,1,0
146,1416,44.5,2025-01-01 12:10:00,FR,mobile,4,0
147,3245,94.85,2025-01-01 12:15:00,US,tablet,4,0
148,3388,63.32,2025-01-01 12:20:00,IN,mobile,3,0
149,4874,76.17,2025-01-01 12:25:00,IN,mobile,3,0
150,2062,82.05,2025-01-01 12:30:00,NG,desktop,4,0
151,4833,67.72,2025-01-01 12:35:00,DE,mobile,3,0
152,3465,44.0,2025-01-01 12:40:00,BR,tablet,2,0
153,3703,689.93,2025-01-01 12:45:00,BR,desktop,6,1
154,4495,67.62,2025-01-01 12:50:00,IN,desktop,2,0
155,2897,97.87,2025-01-01 12:55:00,US,mobile,2,0
156,3130,90.63,2025-01-01 13:00:00,NG,tablet,1,0
157,3066,23.59,2025-01-01 13:05:00,FR,mobile,1,0
158,4471,63.76,2025-01-01 13:10:00,DE,tablet,4,0
159,3476,103.3,2025-01-01 13:15:00,DE,desktop,1,0
160,3894,116.31,2025-01-01 13:20:00,UK,tablet,4,0
161,1535,75.46,2025-01-01 13:25:00,IN,mobile,4,0
162,1477,129.91,2025-01-01 13:30:00,US,tablet,4,0
163,4802,57.82,2025-01-01 13:35:00,US,mobile,4,0
